,FIN,DVS,WSO,IRRAD,TEMP,RAIN,DAYS
0,0.0,-0.1,0.0,1800000.0,-0.63,0.16799999999999998,1.0
1,0.0,-0.1,0.0,3030000.0,5.15,0.161,2.0
2,0.0,-0.0998820093457944,0.0,5300000.0,4.15,0.004,3.0
3,0.0,-0.09979043354101766,0.0,5150000.0,3.5,0.028000000000000004,4.0
4,0.0,-0.09974552180685359,0.0,4870000.0,2.69,0.002,5.0
5,0.0,-0.09971242211838006,0.0,5550000.0,2.25,0.011,6.0
6,0.0,-0.09971242211838006,0.0,4860000.0,2.51,0.031,7.0
7,0.0,-0.09971242211838006,0.0,5290000.0,0.31,0.017,8.0
8,0.0,-0.09971242211838006,0.0,3140000.0,1.47,0.13999999999999999,9.0
9,0.0,-0.09971242211838006,0.0,4050000.0,2.71,0.006,10.0
10,0.0,-0.09970151869158879,0.0,4290000.0,-0.36,0.028999999999999998,11.0
11,0.0,-0.09970151869158879,0.0,6320000.0,-2.17,0.026000000000000002,12.0
12,0.0,-0.09970151869158879,0.0,6890000.0,-7.93,0.003,13.0
13,0.0,-0.09970151869158879,0.0,7040000.0,-8.83,0.004,14.0
14,0.0,-0.09970151869158879,0.0,5940000.0,-7.77,0.0,15.0
15,0.0,-0.09970151869158879,0.0,5940000.0,-10.59,0.0,16.0
16,0.0,-0.09970151869158879,0.0,6440000.0,-9.26,0.001,17.0
17,0.0,-0.09970151869158879,0.0,7180000.0,-7.88,0.005,18.0
18,0.0,-0.09970151869158879,0.0,5120000.0,-7.33,0.043,19.0
19,0.0,-0.09970151869158879,0.0,2430000.0,-3.52,0.16499999999999998,20.0
20,0.0,-0.09970151869158879,0.0,5330000.0,2.96,0.10400000000000001,21.0
21,0.0,-0.09970151869158879,0.0,2320000.0,3.79,0.16799999999999998,22.0
22,0.0,-0.09970151869158879,0.0,3780000.0,9.12,0.086,23.0
23,0.0,-0.09813609813084112,0.0,8550000.0,6.21,0.038,24.0
24,0.0,-0.09809916926272066,0.0,4670000.0,3.05,0.007000000000000001,25.0
25,0.0,-0.09809916926272066,0.0,7770000.0,4.96,0.005,26.0
26,0.0,-0.09771287642782969,0.0,6990000.0,4.17,0.001,27.0
27,0.0,-0.09746657580477673,0.0,9120000.0,1.05,0.001,28.0
28,0.0,-0.09746657580477673,0.0,7680000.0,-0.72,0.011,29.0
29,0.0,-0.09746657580477673,0.0,6030000.0,-0.2,0.002,30.0
30,0.0,-0.09746657580477673,0.0,7900000.0,2.55,0.001,31.0
31,0.0,-0.09744282191069574,0.0,4590000.0,2.65,0.002,32.0
32,0.0,-0.09738317757009346,0.0,4430000.0,1.74,0.002,33.0
33,0.0,-0.09738317757009346,0.0,6990000.0,0.25,0.003,34.0
34,0.0,-0.09738317757009346,0.0,8800000.0,0.89,0.004,35.0
35,0.0,-0.09738317757009346,0.0,6710000.0,3.8,0.02,36.0
36,0.0,-0.0972853712357217,0.0,4630000.0,2.07,0.023,37.0
37,0.0,-0.0972853712357217,0.0,6000000.0,2.53,0.11599999999999999,38.0
38,0.0,-0.09716926272066459,0.0,4190000.0000000005,2.91,0.088,39.0
39,0.0,-0.09703368380062305,0.0,10220000.0,3.23,0.038,40.0
40,0.0,-0.09701693925233644,0.0,3940000.0,3.73,0.16499999999999998,41.0
41,0.0,-0.09698189252336448,0.0,5240000.0,7.09,0.563,42.0
42,0.0,-0.09576051401869158,0.0,4780000.0,4.34,0.47000000000000003,43.0
43,0.0,-0.09572293613707164,0.0,11780000.0,3.12,0.012,44.0
44,0.0,-0.09572293613707164,0.0,9930000.0,4.59,0.398,45.0
45,0.0,-0.09531795171339563,0.0,5750000.0,1.78,0.062,46.0
46,0.0,-0.09531795171339563,0.0,11720000.0,1.92,0.001,47.0
47,0.0,-0.09531795171339563,0.0,11530000.0,1.49,0.026000000000000002,48.0
48,0.0,-0.09531795171339563,0.0,10300000.0,2.58,0.16999999999999998,49.0
49,0.0,-0.09497644080996884,0.0,3770000.0,4.13,0.339,50.0
50,0.0,-0.09477083333333332,0.0,8790000.0,3.66,0.21000000000000002,51.0
51,0.0,-0.09475292056074765,0.0,8710000.0,1.83,0.06999999999999999,52.0
52,0.0,-0.09475292056074765,0.0,6260000.0,3.6,0.11000000000000001,53.0
53,0.0,-0.09475292056074765,0.0,8359999.999999999,3.73,0.312,54.0
54,0.0,-0.09474746884735201,0.0,9400000.0,2.65,0.016,55.0
55,0.0,-0.09473929127725855,0.0,6580000.0,1.35,0.012,56.0
56,0.0,-0.09473929127725855,0.0,13120000.0,4.0,0.003,57.0
57,0.0,-0.09399552180685357,0.0,13640000.0,4.79,0.006,58.0
58,0.0,-0.09374104361370715,0.0,7280000.0,4.78,0.075,59.0
59,0.0,-0.0936634865005192,0.0,8420000.0,5.8,0.10300000000000001,60.0
60,0.0,-0.09305691848390446,0.0,11740000.0,4.81,0.032,61.0
61,0.0,-0.09295340083073728,0.0,15120000.0,4.36,0.001,62.0
62,0.0,-0.09266095534787123,0.0,15850000.0,3.63,0.0,63.0
63,0.0,-0.09240842419522326,0.0,14910000.0,6.01,0.001,64.0
64,0.0,-0.09090316718587746,0.0,16040000.0,6.79,0.002,65.0
65,0.0,-0.0893914849428868,0.0,14920000.0,10.44,0.002,66.0
66,0.0,-0.08635345275181723,0.0,10960000.0,10.51,0.012,67.0
67,0.0,-0.08291030633437174,0.0,13290000.0,9.94,0.081,68.0
68,0.0,-0.08016770508826582,0.0,11500000.0,7.26,0.10700000000000001,69.0
69,0.0,-0.07939395119418483,0.0,13700000.0,5.63,0.027000000000000003,70.0
70,0.0,-0.07908164589823467,0.0,12390000.0,6.97,0.189,71.0
71,0.0,-0.07829309449636551,0.0,5830000.0,5.21,0.9789999999999999,72.0
72,0.0,-0.0782802440290758,0.0,15220000.0,6.78,0.22799999999999998,73.0
73,0.0,-0.07741595275181723,0.0,8600000.0,7.2,0.21000000000000002,74.0
74,0.0,-0.07679387331256489,0.0,12860000.0,7.19,0.152,75.0
75,0.0,-0.0755707424714434,0.0,18270000.0,6.82,0.03,76.0
76,0.0,-0.075202492211838,0.0,8760000.0,7.15,0.071,77.0
77,0.0,-0.07436195482866043,0.0,7310000.0,8.5,0.187,78.0
78,0.0,-0.07307768691588784,0.0,7780000.0,9.93,0.991,79.0
79,0.0,-0.06991121495327102,0.0,13380000.0,6.59,0.11499999999999999,80.0
80,0.0,-0.06978056853582554,0.0,19160000.0,8.62,0.016,81.0
81,0.0,-0.06824688473520249,0.0,6850000.0,8.62,0.011,82.0
82,0.0,-0.06687577881619937,0.0,15080000.0,6.91,0.10600000000000001,83.0
83,0.0,-0.06591179906542055,0.0,5640000.0,4.88,0.40800000000000003,84.0
84,0.0,-0.0659102414330218,0.0,16649999.999999998,6.73,0.052000000000000005,85.0
85,0.0,-0.0649809839044652,0.0,21120000.0,6.57,0.032,86.0
86,0.0,-0.06407509086188992,0.0,11400000.0,6.76,0.376,87.0
87,0.0,-0.06338544911734163,0.0,19090000.0,6.58,0.006,88.0
88,0.0,-0.06277018431983385,0.0,21940000.0,6.87,0.004,89.0
89,0.0,-0.06181327881619937,0.0,17180000.0,8.0,0.008,90.0
90,0.0,-0.059949571651090335,0.0,18680000.0,8.83,0.025,91.0
91,0.0,-0.05814544392523364,0.0,22400000.0,8.73,0.004,92.0
92,0.0,-0.05672332554517133,0.0,10700000.0,7.44,0.019,93.0
93,0.0,-0.05600817757009345,0.0,7910000.0,8.15,0.253,94.0
94,0.0,-0.05489466510903426,0.0,7550000.0,7.91,0.022,95.0
95,0.0,-0.05393983644859812,0.0,22680000.0,6.8,0.028999999999999998,96.0
96,0.0,-0.05305328400830736,0.0,12830000.0,8.88,0.20400000000000001,97.0
97,0.0,-0.051310293354101755,0.0,16680000.0,8.19,0.25,98.0
98,0.0,-0.05008404724818275,0.0,10210000.0,6.08,0.195,99.0
99,0.0,-0.04985916407061266,0.0,17330000.0,6.35,0.062,100.0
100,0.0,-0.049740005192107986,0.0,18220000.0,6.65,0.08399999999999999,101.0
101,0.0,-0.04935682762201453,0.0,21420000.0,6.92,0.072,102.0
102,0.0,-0.04884592419522325,0.0,22300000.0,7.71,0.007000000000000001,103.0
103,0.0,-0.04669950674974039,0.0,24800000.0,13.37,0.002,104.0
104,0.0,-0.040068276220145374,0.0,20940000.0,13.1,0.014000000000000002,105.0
105,0.0,-0.03507840083073727,0.0,16510000.000000002,9.69,0.269,106.0
106,0.0,-0.03161442107995845,0.0,21330000.0,9.4,0.205,107.0
107,0.0,-0.029307567497403937,0.0,11530000.0,9.23,0.484,108.0
108,0.0,-0.027511617341640697,0.0,14370000.0,8.55,0.322,109.0
109,0.0,-0.02630717808930425,0.0,26070000.0,9.26,0.005,110.0
110,0.0,-0.02405237538940809,0.0,15980000.0,9.4,0.003,111.0
111,0.0,-0.021888304776739347,0.0,18900000.0,8.44,0.020999999999999998,112.0
112,0.0,-0.01965504932502595,0.0,26510000.0,8.84,0.022,113.0
113,0.0,-0.017612993250259595,0.0,22990000.0,6.51,0.024,114.0
114,0.0,-0.01724967549325025,0.0,22510000.0,6.37,0.006,115.0
115,0.0,-0.01693581256490134,0.0,24100000.0,8.72,0.003,116.0
116,0.0,-0.01526447300103841,0.0,27410000.0,8.18,0.006,117.0
117,0.0,-0.013780438733125637,0.0,12680000.0,8.19,0.10400000000000001,118.0
118,0.0,-0.012599169262720653,0.0,18200000.0,8.68,0.13899999999999998,119.0
119,0.0,-0.01116108515057112,0.0,9890000.0,6.84,0.42699999999999994,120.0
120,0.0,-0.010610851505711305,0.0,11800000.0,10.24,0.43099999999999994,121.0
121,0.0,-0.007756879543094484,0.0,22600000.0,9.71,0.054000000000000006,122.0
122,0.0,-0.005876817237798533,0.0,26190000.0,9.08,0.034999999999999996,123.0
123,0.0,-0.0038516355140186783,0.0,19800000.0,7.52,0.025,124.0
124,0.0,-0.0031954828660436,0.0,23410000.0,7.81,0.068,125.0
125,0.0,-0.0022885514018691445,0.0,17230000.0,10.37,0.001,126.0
126,0.0,0.0,0.0,27360000.0,14.43,0.0,127.0
127,0.0,0.029677067762830096,0.0,8680000.0,13.1,0.028000000000000004,128.0
128,0.0,0.05057579720976582,0.0,25060000.0,9.91,0.026000000000000002,129.0
129,0.0,0.06202385401096164,0.0,24250000.0,10.2,0.018,130.0
130,0.0,0.07119238913801694,0.0,20490000.0,13.46,0.06899999999999999,131.0
131,0.0,0.0949068883906328,0.0,27400000.0,13.69,0.005,132.0
132,0.0,0.12057143746885901,0.0,23690000.0,16.77,0.019,133.0
133,0.0,0.15942233432984557,0.0,8279999.999999999,10.94,0.01,134.0
134,0.0,0.17083489038365723,0.0,12840000.0,10.51,0.007000000000000001,135.0
135,0.0,0.18189430742401597,0.0,27660000.0,11.12,0.002,136.0
136,0.0,0.19627211011459894,0.0,26140000.0,14.13,0.002,137.0
137,0.0,0.22428593672147487,0.0,22060000.0,14.99,0.018,138.0
138,0.0,0.253927192326856,0.0,5450000.0,14.1,0.396,139.0
139,0.0,0.2762366093672148,0.0,27470000.0,10.3,0.026000000000000002,140.0
140,0.0,0.28788459142999506,0.0,27480000.0,10.41,0.087,141.0
141,0.0,0.2989589561534629,0.0,13440000.0,12.58,0.501,142.0
142,0.0,0.32016535874439467,0.0,24750000.0,11.19,0.046,143.0
143,0.0,0.33308763079222725,0.0,26740000.0,10.11,0.071,144.0
144,0.0,0.3430969730941705,0.0,13570000.0,10.06,0.126,145.0
145,0.0,0.35320347533632296,0.0,23130000.0,13.21,0.025,146.0
146,0.0,0.3775532511210763,0.0,30040000.0,15.13,0.001,147.0
147,0.0,0.40575298953662187,0.0,29920000.0,18.26,0.002,148.0
148,0.0,0.44808046836073745,0.0,30020000.0,22.65,0.003,149.0
149,0.0,0.5041853512705531,0.0,22230000.0,14.55,0.028000000000000004,150.0
150,0.0,0.5265361858495267,0.0,25460000.0,11.2,0.003,151.0
151,0.0,0.5412783383158943,0.0,28460000.0,14.14,0.013000000000000001,152.0
152,0.0,0.5662194818136522,0.0,21070000.0,15.88,0.011,153.0
153,0.0,0.6001432486297957,0.0,26260000.0,13.63,0.098,154.0
154,0.0,0.6254459392127554,0.0,10210000.0,12.48,0.776,155.0
155,0.0,0.6484952665670155,0.0,23740000.0,12.84,0.20600000000000002,156.0
156,0.0,0.6707953413054311,0.0,22970000.0,13.01,0.118,157.0
157,0.0,0.6925903089187844,0.0,15350000.0,12.14,0.184,158.0
158,0.0,0.7083582461385153,0.0,20980000.0,11.63,0.027000000000000003,159.0
159,0.0,0.724140196811161,0.0,26320000.0,12.47,0.066,160.0
160,0.0,0.7423950548081715,0.0,24290000.0,14.75,0.015,161.0
161,0.0,0.7684824987543598,0.0,25770000.0,16.62,0.08399999999999999,162.0
162,0.0,0.8024735301444943,0.0,22650000.0,18.23,0.126,163.0
163,0.0,0.8443120951669159,0.0,22570000.0,18.44,0.04,164.0
164,0.0,0.8882807050323868,0.0,30300000.0,21.14,0.0,165.0
165,0.0,0.9405153836571999,0.0,28880000.0,20.08,0.001,166.0
